Title,Date,Link,Press,Body,Emotion,Comment_body,Comment_date,Comment_recomm,Comment_unrecomm,Num_comment,Section,Ignore,Category,ID
"삼성전자 영입 TSMC 출신 린준청 부사장, 계약 만료로 퇴사",20250101,https://n.news.naver.com/mnews/article/001/0015137114?sid=101,,"   삼성전자가 반도체 패키징 역량 강화를 위해 영입한 대만 TSMC 출신 베테랑 엔지니어 린준청 부사장이 회사를 떠났다.

1일 업계에 따르면 삼성전자 디바이스솔루션(DS)부문 CTO 반도체연구소 차세대연구실 담당 임원으로 일하던 린 부사장은 작년 12월 31일 자로 2년간의 계약 만료로 퇴사했다.

그는 삼성전자의 파운드리(반도체 위탁생산) 경쟁사인 TSMC에서 1999년부터 2017년까지 일한 반도체 패키징 분야 전문가다. 삼성전자 합류 전에는 대만 반도체 장비 기업 스카이테크의 최고경영자(CEO)를 지냈다.

삼성전자는 2023년 초 패키징 관련 기술 및 제품 개발 등을 담당하는 어드밴스드 패키징(AVP) 조직을 신설하면서 린 부사장을 영입했다.

린 부사장은 지난달 31일 링크드인에 올린 글에서 오늘은 2년간의 계약 종료로 삼성전자에서 보내는 마지막 날이라며 삼성의 어드밴스드 패키징 기술을 적용해 회사와 내 커리어 발전에 모두 기여해 기쁘며 지난 2년은 즐겁고 의미 있는 여정이었다고 동료들에게 감사를 전했다.",Good:1 Warm:0 Sad:0 Angry:0 Want:1,,,,,1.0,경제/IT,0,,20250101_001
"삼성전자, AI PC '갤럭시 북5 프로' 2일 국내 출시",20250101,https://n.news.naver.com/mnews/article/001/0015135873?sid=101,,"   삼성전자는 인공지능(AI)을 탑재한 PC 갤럭시 북5 프로(Pro)를 오는 2일 국내 시장에 출시한다고 1일 밝혔다.

갤럭시 북5 프로는 최대 47 TOPS(초당 최고 47조 회 연산)의 신경망처리장치(NPU)를 지원하는 인텔 코어 울트라 프로세서 시리즈2(코드명 루나레이크)를 탑재한 기기로 AI를 활용한 작업을 안정적으로 수행할 수 있다.

특히 삼성전자의 갤럭시 AI를 기반으로 궁금한 이미지나 텍스트 등을 빠르게 검색할 수 있는 AI 셀렉트 기능을 갤럭시 북 라인업 최초로 탑재한 것이 특징이다.

삼성전자는 향후 갤럭시 북5 프로에 업데이트를 통해 마이크로소프트의 코파일럿 PC 기능도 지원할 예정이다.

갤럭시 북5 프로는 40.6cm(16형) 35.6cm(14형) 두 가지 모델로 그레이실버 2가지 색상으로 출시된다.

아울러 지난해 10월 출시 후 삼성닷컴에서만 판매하던 갤럭시 북5 프로 360은 2일부터 주요 오프라인 매장 및 온라인몰에서 판매된다.

삼성전자는 오는 16일까지 갤럭시 북5 프로를 구매한 고객에게 학업 효율성을 높여주는 MS 오피스 홈 2024를 제공한다. 갤럭시 북 멤버스 앱에서 3월 31일까지 구매 혜택을 신청하면 다양한 사은품을 받을 수 있다.

삼성전자는 많은 고객이 AI 신제품을 경험할 수 있도록 사용하던 노트북태블릿 기기를 반납하면 중고 매입가에 추가 보상액을 제공하는 AI로 바꿔보상 프로모션도 3월 31일까지 진행한다.",Good:0 Warm:0 Sad:1 Angry:0 Want:0,"저리 해서 100만원 언저리라 하면 맥북에 안됨...노트북 성능은 맥북이 원탑이라.. 저게 60-70 이면 가능성 있을듯한데.. 100 ~ 200 이러면.. 가성비 존나 떨어지는거
","2025-01-01T09:29:22+0900
","1
","8
",1.0,경제/IT/생활,0,,20250101_002
"삼성전자, AI PC '갤럭시 북5 Pro' 국내 출시 예정",20250101,https://n.news.naver.com/mnews/article/001/0015136136?sid=101,," 삼성전자가 혁신적인 AI PC경험을 선사하는 갤럭시 북5 Pro를 오는 2일 국내 출시한다고 1일 밝혔다. 삼성전자 모델이 AI PC 갤럭시 북5 시리즈의 사진 리마스터 기능을 체험하고 있다.  ",Good:0 Warm:0 Sad:0 Angry:0 Want:0,,,,,0.0,경제/IT/사회,0,,20250101_003
"삼성전자, AI PC '갤럭시 북5 Pro' 국내 출시 예정",20250101,https://n.news.naver.com/mnews/article/001/0015136137?sid=101,," 삼성전자가 혁신적인 AI PC경험을 선사하는 갤럭시 북5 Pro를 오는 2일 국내 출시한다고 1일 밝혔다. 사진은 갤럭시 북5 Pro.  ",Good:0 Warm:0 Sad:0 Angry:0 Want:0,,,,,0.0,경제/IT/사회,0,,20250101_004
세계 500대 부자 순자산 10조달러…1위 머스크는 지난해 2배로,20250101,https://n.news.naver.com/mnews/article/001/0015136290?sid=101,,"   인공지능(AI) 붐이 주도한 미국 증시 랠리 등에 힘입어 지난해 세계 500대 부호의 순자산이 총 10조 달러에 이른 것으로 집계됐다. 세계 최고 부자 일론 머스크 테슬라 최고경영자(CEO)의 순자산은 한 해 동안 2배로 불어났다.

블룸버그통신이 지난달 31일(현지시간) 보도한 블룸버그 억만장자 지수에 따르면 세계 500대 부자들의 순자산 합계가 전날 기준 9조8천억 달러(약 1경4천423조원)를 기록했다.

지난달 11일 고점인 10조1천억 달러(약 1경4천865조원)보다는 소폭 줄었지만 여전히 고공행진을 이어간 것이다.

500대 부호의 순자산 합계는 2023년 독일일본호주 국내총생산(GDP)을 합친 것과 비슷한 수준이라는 게 블룸버그 설명이다.

지난해 이들의 순자산 증가액은 총 1조5천억 달러(약 2천207조원)로 이 가운데 미국 기술 업계 부호 8명의 비중이 43%에 달했다.

특히 매그니피센트 7을 비롯한 기술주 강세와 도널드 트럼프 미 대통령 당선인의 대선 승리로 수혜를 본 머스크의 자산 증가가 두드러졌다.

지난달 31일 기준 머스크의 순자산은 4천320억 달러(약 635조원)로 전년 말 대비 2천30억 달러(약 298조원) 늘어났다.

2위인 아마존 창업자 제프 베이조스(2천390억 달러약 351조원)와의 자산 격차가 지난달 17일 2천370억 달러(약 348조원)로 벌어지기도 했다. 12위 간 자산 격차로는 사상 최대라고 블룸버그는 전했다.

3위는 메타플랫폼(페이스북 모회사) CEO 마크 저커버그(2천70억 달러약 304조원) 4위는 래리 엘리슨 오라클 회장(1천920억 달러약 282조원)이었다.

대표적 AI 붐 수혜업체인 엔비디아 CEO 젠슨 황은 한 해 동안 순자산이 703억 달러(약 103조원) 늘어난 1천140억 달러(약 167조원)를 기록 12위에 이름을 올렸다.

사업가 출신인 트럼프 당선인은 한 해 동안 순자산이 109% 증가한 64억7천만 달러(약 9조5천억원)로 471위에 올랐다. 본인이 설립한 사회관계망서비스(SNS) 트루스소셜의 모회사(트럼프미디어) 주가 상승 등이 순자산 증가에 기여했다.

국내에서는 이재용 삼성전자 회장이 84억6천만 달러(약 12조4천억원)로 331위 조정호 메리츠금융지주 회장이 71억6천만 달러(약 10조5천억원)로 408위였다.

국내 시총 1위 삼성전자 주가가 한 해 동안 32.23% 하락한 가운데 블룸버그 집계 기준 이 회장의 순자산은 한 해 동안 14.4% 14억2천만 달러(약 2조원) 줄었다. 조 회장의 자산은 24억2천만 달러(약 3조5천억원) 증가했다.

명품업계 부진 속에 한때 세계 최고 부자였던 루이뷔통모에헤네시(LVMH)의 베르나르 아르노 회장은 자산이 312억 달러(약 45조9천억원) 줄어든 1천760억 달러(약 259조원)를 기록 부호 순위에서 5위로 밀려났다. 아르노 회장의 순자산 감소액은 500대 부호 가운데 가장 많았다.

이밖에 비트코인 가격이 사상 처음으로 10만 달러를 돌파하는 등 랠리를 펼치면서 가상화폐 업계 인사들의 자산도 늘었다.

세계 최대 가상화폐 거래소 바이낸스의 창업자 자오창펑은 순자산이 55% 증가한 533억 달러(약 78조4천억원)로 25위에 올랐다.",Good:4 Warm:0 Sad:3 Angry:0 Want:4,,,,,33.0,경제/세계,0,,20250101_005
"""올해 초 메모리값 일제히 하락""…'믿을맨'은 또 HBM?",20250101,https://n.news.naver.com/mnews/article/001/0015135770?sid=105,,"   지난 2023년 매서웠던 반도체 혹한기를 겪은 뒤 지난해 겨우 한숨을 돌렸던 삼성전자와 SK하이닉스가 새해부터 촉각을 곤두세우고 있다. 올해 1분기 D램 낸드 플래시 등 메모리 가격이 일제히 하락할 것이라는 전망이 나왔기 때문이다.

업계에선 공급 과잉으로 인해 지속되는 범용 제품의 가격 하락세를 수요가 견조한 고대역폭 메모리(HBM) 등 고부가첨단 제품이 상쇄시킬 것으로 보고 있다.

1일 시장조사업체 트렌드포스에 따르면 올해 1분기 D램 가격은 813% 낸드 가격은 1015%가량 떨어질 것으로 관측된다.

트렌드포스는 메모리 업체들은 올해 1분기에 재고 수준 증가와 주문 수요 악화에 직면할 것이라면서 트럼프 행정부의 잠재적인 수입 관세에 대비한 노트북 제조업체들의 조기 재고 비축도 가격 하락을 더욱 악화시켰다고 분석했다.

일각에서는 지난해 4분기보다 가격 하락 폭이 커진 데다 효자 역할을 톡톡히 해왔던 DDR5 등 서버용 D램과 기업용 솔리드스테이트드라이브(SSD)의 가격이 올해 들어 내림세로 전환하면서 반도체 한파의 재연을 우려하는 모습이다.

하지만 우려와 달리 HBM 기업용 SSD 등 인공지능(AI)으로 촉발된 고부가 메모리의 수요는 당분간 이어질 것으로 보여 2023년과 같은 최악의 상황은 오지 않을 것이라는 게 업계의 진단이다.

반도체 업계 관계자는 업황이 회복됐던 작년의 경우 빅테크 기업들의 데이터센터 증설 등으로 서버용 D램과 기업용 SSD의 수요가 특히 강했다 보니 올해 소강상태를 보일 수는 있다며 다만 HBM이나 일부 제품의 수요는 계속되고 있어 반도체 한파는 없을 가능성이 높다고 설명했다.

지난해 반도체 산업의 주인공이었던 HBM은 올해도 견조한 수요를 이어가며 전체 D램 실적을 견인할 것으로 보인다.

실제 올해 1분기 HBM을 포함하면 전체 D램의 가격 하락은 05% 수준에 그칠 것으로 관측된다.

트렌드포스는 HBM은 급증하는 AI 수요에 힘입어 D램 산업의 핵심성장 동력으로 부상했다며 특히 HBM3E(5세대)는 2025년에도 타이트(부족)한 공급이 유지될 것이라고 내다봤다.

SK하이닉스 역시 지난해 10월 일각의 HBM 수요 둔화 및 공급 과잉 우려에 대해 시기상조라고 일축하며 내년(2025년) HBM 수요는 AI 칩 수요 증가와 고객의 AI 투자 확대 의지가 확인되고 있어 예상보다 더 늘어날 것이라고 전망했다.

이에 HBM 시장 1위인 SK하이닉스는 이미 올해 물량을 완판한 상태이며 내후년에도 물량 부족이 예상됨에 따라 캐파(생산능력)를 키워가고 있다.

현재 SK하이닉스가 기존 청주 M15의 확장 팹(공장)으로 짓고 있는 M15X는 올해 11월 준공한 뒤 HBM을 집중 생산할 것으로 알려졌다.

HBM 외에 DDR5기업용 SSD 등 서버용 제품의 가격 하락은 이르면 2분기 또는 하반기에는 회복될 가능성이 점쳐진다.

트렌드포스는 2025년에도 기업용 SSD의 수요는 증가할 것이라며 일부 공급업체가 (기업용 SSD의) 내년 예상 수요를 충족시키기 위해 60TB(테라바이트) 이상의 고용량 제품으로 전환하고 있다고 밝혔다.

다만 중국 메모리반도체 기업 CXMT(창신메모리)의 공세는 변수로 작용할 수 있다.

그간 구형인 DDR4를 위주로 생산하던 CXMT는 최근 최신 제품인 DDR5를 만들어 시장에 출시한 것으로 전해진다.

해당 제품은 서버가 아닌 PC용 제품으로 삼성전자와 SK하이닉스 제품과 성능 격차도 클 것이라는 게 대체적인 시각이다.

하지만 올해 중국 업체들이 서버용 DDR5 제품까지 진입하고 생산 능력을 확대할 경우 이로 인한 가격 하락은 피할 수 없을 것으로 예상된다.",Good:0 Warm:2 Sad:0 Angry:0 Want:1,"안그래도 요즘 환율 때문에 부품값 비싼데 경쟁 치열하게 해서 가격 더 내려갔음 좋겠네
","2025-01-01T09:22:18+0900
","2
","1
",2.0,IT/경제,0,,20250101_006
[미리보는 CES] ① 'AI 일상 속으로'…세계 최대 기술 전시회 7일 개막,20250101,https://n.news.naver.com/mnews/article/001/0015135739?sid=104,,"편집자 주  세계 최대 가전정보기술(IT) 전시회 CES 2025가 현지시간 7일부터 10일까지 미국 라스베이거스에서 열립니다. 매년 새해 첫 달 열리는 CES는 전 세계 기술 산업의 트렌드와 방향을 제시하는 세계 최대 기술 전시회입니다. 연합뉴스는 CES 개막을 앞두고 이번 행사에서 소개될 기술과 참가 기업 기조연설자 등 주목할 만한 내용을 네 편의 기사로 제작해 송고합니다.

 김태종 특파원  전 세계 기술 산업의 트렌드와 방향을 한 눈에 볼 수 있는 세계 최대 가전정보기술(IT) 전시회 CES 2025가 710일(현지시간) 미국 라스베이거스에서 열린다.

CES는 1967년 최초 TV 등 소비자 가전 전시회로 출발했으나 현재는 인공지능(AI)이동통신자율주행 등을 총망라한 기술 전시회로 자리 잡았다.

행사 주관 단체인 미 소비자기술협회(CTA) 등에 따르면 이번 CES 2025에는 전 세계 160개국 및 지역에서 4천500여개 기업이 참가한다. 지난해 150개국지역 4천300개보다 참가기업이 약 5% 늘어난 규모다.

올해 CES의 슬로건은 몰입(dive in)으로 기술을 통해 연결하고 문제를 해결하며 새로운 가능성을 발견하자는 메시지가 담겼다.

AI가 지난해에 이어 다시 전면에 등장했다. 지난해에는 AI 기술을 소개하는 수준이었다면 올해에는 일상에서 전방위적으로 활용되는 AI 기술이 조명된다.

브라이언 코미스키 CTA 수석 디렉터는 기존 AI 기술 트렌드에서 더 깊게 파고든 새로운 기회와 아이디어를 볼 수 있을 것이라며 전시 업체들이 내일이 아닌 오늘을 위한 다양한 AI의 사용 선례를 선보일 것이라고 말했다.

AI와 함께 글로벌 자동차들이 새로운 콘셉트카를 선보일 모빌리티 실제와 가상현실을 오가는 확장 현실(XR) 스마트홈 디지털 헬스케어 등도 관심을 끈다.

AI 시대 화두인 에너지 전환과 함께 AI의 뒤를 잇는 기술로 주목받는 양자 컴퓨팅 관련 기술도 선보인다.

글로벌 기업 최고경영자(CEO)들이 산업 전반의 트렌드와 기술 발전 방향을 소개하는 기조연설자로 나선다.

AI 시대를 이끄는 엔비디아의 젠슨 황 CEO가 개막 전날인 6일 오후 첫 기조연설자로 무대에 오른다. 황 CEO가 CES 무대에 서는 것은 2017년 이후 처음으로 8년 전과 위상은 확 달라졌다.

2017년 1월 엔비디아 시가총액은 550억 달러(80조9천억원)였지만 현재는 60배 이상 증가한 3조3천670억 달러(4천955조원)에 달한다.

한때 세계에서 가장 비싼 기업에 오르는 등 전 세계 시총 2위 기업의 수장으로서 다시 무대에 오른다.

황 CEO는 차세대 AI 칩 블랙웰 등의 진행 상황을 공유하고 AI와 가속 컴퓨팅 기술이 미칠 영향 등을 소개할 예정이다.

에드 바스티안 델타 CEO는 창립 100주년을 맞아 라스베이거스 내 대형 공연장인 스피어에서 최첨단 기술 기반 항공 산업의 혁신 전략을 발표할 예정이다.

전 세계에서 가장 앞선 로보택시를 자랑하는 구글 웨이모 테케드라 마와카나 공동 CEO는 로보택시의 미래를 일론 머스크 테슬라 CEO가 소유한 소셜미디어(SNS) 기업 엑스(X옛 트위터)의 린다 야카리노 CEO는 진화하는 소셜네트워크 플랫폼 기술에 관해 각각 연설한다.

세계 최대 자동차 업체 일본 도요타는 5년 만에 CES에 참가한다. 도요타는 5년 전 처음 소개한 미래형 도시 우븐시티의 경과 등을 공유하며 자율주행차 등 첨단 모빌리티 설루션을 공개할 예정이다.

한국에서도 삼성전자와 LG전자 SK 등 대기업과 스타트업까지 800여개 사가 참여한다.

삼성전자는 AI 홈이 탑재된 스크린 가전 신제품 등을 대거 공개하고 SK그룹은 AI 반도체와 데이터센터 에너지 설루션을 결합한 AI 데이터센터 토털 설루션 등 그룹 AI 전략을 소개한다.

LG전자는 공감 지능 기술 혁신을 기반으로 고객의 다양한 경험과 공간을 연결확장하며 일상을 변화시키는 미래 청사진을 제시한다. 현대차그룹에서는 현대모비스가 대표로 이름을 올렸다.

한국 기업은 CTA가 발표한 CES 혁신상 363개 가운데 162개를 받았고 삼성전자와 SK텔레콤 웅진씽크빅 등 7개 기업은 최고 혁신상을 받았다.

스타트업 전용 전시관인 유레카 파크에는 공공기관과 대학 지방자치단체 등 스타트업 지원기관이 함께 역대 최대 규모의 K스타트업 통합관을 구성한다.",Good:1 Warm:0 Sad:0 Angry:0 Want:0,,,,,0.0,세계/경제/IT,0,,20250101_007
"[미리보는 CES] ② ""개인화된 AI""…국내 기업, AI 신기술 들고 총출동",20250101,https://n.news.naver.com/mnews/article/001/0015135740?sid=101,,"   오는 7일(현지시간) 미국 라스베이거스에서 막을 여는 세계 최대 가전IT 전시회 CES 2025에서는 지난해에 이어 인공지능(AI)이 행사 전체를 관통하는 큰 화두가 될 것으로 보인다.

특히 AI와 차세대 디지털 경험에 집중했던 지난해에서 한발 나아가 올해는 기술과 인류 간의 상호작용에 보다 초점을 맞출 것으로 예상되는 가운데 국내 주요 기업들도 AI 신기술을 기반으로 한층 개인화된 경험을 선보일 전망이다.

1일 업계에 따르면 국내 가전업계 양대 산맥인 삼성전자와 LG전자는 나란히 CES 무대에 AI 기술을 기반으로 한 스마트홈 전략과 신제품을 선보이며 스마트홈이 도입된 미래 일상의 발전 방향을 탐구한다.

삼성전자는 지난해에 이어 올해도 모두를 위한 AI를 주제로 프레스 콘퍼런스 행사를 열고 한종희 디바이스경험(DX)부문장(부회장)이 대표 연사로 나서 한층 진화한 AI 홈 전략을 공개한다.

삼성전자는 참가업체 중 최대인 3천368(약 1천19평) 규모의 부스에서 9형 터치스크린을 탑재한 비스포크 냉장고 등 AI 홈이 탑재된 스크린 가전 신제품을 대거 공개한다.

AI 홈은 제품에 탑재된 터치스크린을 통해 삼성 스마트홈 플랫폼 스마트싱스에 연결된 모든 가전을 원격으로 제어할 수 있는 설루션으로 기기를 쉽게 연결하는 캄 온보딩(Calm Onboarding) 전략을 기반으로 가사 수고 등을 더는 것을 목표로 한다.

지난해 10주년을 맞은 삼성 스마트싱스는 2019년 가입자 수 1억명을 넘은 데 이어 지난해 8월에는 3억5천만명을 돌파하는 등 가입자 수가 지속해서 증가하고 있다.

LG전자는 공감지능(Affectionate Intelligence) 기술 혁신을 기반으로 고객의 다양한 경험과 공간을 연결확장하며 일상을 변화시키는 미래 청사진을 선보인다.

개막에 앞서 열리는 LG 월드 프리미어 행사에는 조주완 최고경영자(CEO) 사장이 대표 연사로 무대에 오른다. 조 사장은 앞서 지난해 CES에서 AI의 개념을 고객 경험 관점에서 재정립한 공감지능으로 재정의한 바 있다.

생성형 AI를 탑재한 AI홈 허브 LG 씽큐 온 이동형 AI홈 허브를 기반으로 한 AI 홈의 미래도 제시한다.

이번 전시에서는 투명 올레드 기술과 AI 기반 식재료 관리 설루션을 결합한 스마트 인스타뷰 냉장고 등 초(超)프리미엄 가전 LG 시그니처 신제품도 선보인다.

글로벌 시장조사업체 스태티스타에 따르면 스마트홈 시장의 지난해 매출은 1천544억달러로 예상되며 연평균 10.17% 성장해 2029년에는 시장 규모가 2천506억달러에 달할 전망이다.

에너지 절약과 지속 가능한 생활에 대한 관심이 높아지면서 주거 환경의 편리성과 접근성을 향상시키는 스마트홈 기술에 대한 수요도 증가하고 있다.

특히 고도화된 AI 기능과 사물인터넷(IoT) 기술 기반의 스마트 가전 삼성전자의 볼리와 LG전자의 이동형 AI홈 허브처럼 일종의 집사 역할을 수행하는 가정용 로봇의 출시가 증가하는 것뿐 아니라 사용자의 생활 패턴과 선호도를 학습해 맞춤형 서비스를 제공하는 개인화된 경험이 집중 부각될 것으로 보인다.

AI 시대를 맞아 증가하는 첨단 메모리와 서버 시장의 수요에 대응하기 위한 다양한 차세대 메모리 설루션 등도 제시된다.

삼성전자는 최대 성능 10.7Gbps의 속도와 업계 최소 두께 12나노급이 적용된 LPDDR5X 업계 최초 3나노 공정을 적용한 웨어러블 전용 프로세서 엑시노스 W1000 이미지 센서 설루션 ALoP 등 3개 제품이 반도체 부문 CES 혁신상을 받았다.

SK그룹은 혁신적인 AI 기술로 지속 가능한 미래를 만든다를 주제로 부스를 꾸리고 AI 데이터센터 설루션을 비롯해 SK하이닉스가 개발 중인 현존 D램 최고 설루션 HBM3E 16단을 포함한 AI 반도체 반도체 공정의 게임체인저로 불리는 SKC의 유리 기판 기술 등을 선보인다.

AI 반도체 경쟁력 강화 등에 주력하고 있는 최태원 SK그룹 회장도 3년 연속 CES 현장을 찾아 비즈니스 미팅 등을 갖고 AI 생태계 구축과 리더십 강화에 나선다.

이 과정에서 2017년 이후 8년 만에 CES 기조연설 무대에 오르는 젠슨 황 엔비디아 CEO와 최 회장 간 회동이 이뤄질지도 관전 포인트다.

경기 침체로 TV 시장의 부진이 이어지는 가운데 이를 타개할 신제품도 선보인다.

지난해 삼성전자와 LG전자가 각각 세계 최초로 투명 마이크로 발광다이오드(LED)와 무선 투명 유기발광다이오드(OLED) TV를 선보여 참관객의 눈길을 사로잡은 데 이어 올해도 혁신적인 기술을 바탕으로 한 TV 신제품을 내놓을지 주목된다.

가전뿐 아니라 프리미엄 TV 시장에서도 기술 격차를 좁히며 국내 기업의 뒤를 바짝 쫓고 있는 중국 TCL과 하이센스도 각각 퀀텀닷 미니 LED TV ULED 미니 LED TV 등을 비롯한 신제품과 AI 기반 기술을 선보이며 중국의 테크 굴기(堀起)를 과시할 전망이다.

이밖에 몰입형 경험을 제공하는 차세대 게이밍 기술도 참관객의 발길을 사로잡을 것으로 보인다.

LG전자는 기존 4K 해상도를 넘어 5K2K 해상도(5120X2160)를 지원하는 OLED 게이밍 모니터를 선보인다. 고객이 원할 때마다 화면을 구부렸다 펴는 벤더블 기능도 적용했다.",Good:0 Warm:0 Sad:0 Angry:0 Want:0,"전시관 딱 가보면 이탈리아 스페인 독일 명품 가구 홈 스타일 보고 코리아 전시관 가면 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ ㅠㅠ
","2025-01-01T06:39:12+0900
","0
","0
",1.0,경제/IT,0,,20250101_008
한화정밀기계 신임 대표이사에 '반도체 기술통' 김재현,20250101,https://n.news.naver.com/mnews/article/001/0015136262?sid=101,,"   한화정밀기계는 새 대표이사로 김재현(54) 한화모멘텀 신사업추진실장을 내정했다고 1일 밝혔다.

김 신임 대표는 서울대 조선해양공학과를 졸업한 뒤 미국 매사추세츠공대(MIT)에서 기계공학 석사박사 학위를 취득했다.

이후 삼성전자 램리서치 원익IPS 등에서 수석엔지니어 연구개발(RD) 부문장 등을 맡아 반도체 장비 신기술 개발에 주력해왔다. 지난해 한화그룹에 합류해 미래 시장을 이끌 신사업 발굴에 나섰다.

한화정밀기계는 기술통인 김 대표를 필두로 연구개발(RD) 부문 강화를 통해 차별화된 신기술 개발을 이어간다는 방침이라고 밝혔다.

또 올해 새로 출범한 통합법인 한화비전의 자회사로서 인공지능(AI) 등 첨단 기술을 활용한 기술 및 사업 교류를 확대한다는 계획이다.

김 신임 대표는 최근 고대역폭 메모리(HBM)용 TC 본더 시장에서 한화의 신기술이 큰 주목을 받고 있다며 지속적인 RD 투자와 혁신으로 독보적 기술 개발을 이어가 미래 반도체 시장을 주도할 것이라고 말했다.",Good:0 Warm:0 Sad:0 Angry:0 Want:0,,,,,0.0,경제/IT,0,,20250101_009
작년 국내증시 수익률 '톱'은 고배당株…테마지수 상위 '싹쓸이',20250101,https://n.news.naver.com/mnews/article/001/0015135733?sid=101,,"   2024년 증시 폐장일인 30일 오후 서울 중구 하나은행 딜링룸 모니터에 코스피 코스닥 종가가 표시되고 있다.

   지난해 국내 증시가 10% 가까이 하락하며 약세를 보인 가운데서도 고배당주들은 차별화된 수익을 낸 것으로 나타났다.

1일 한국거래소에 따르면 2024년 1월 2일부터 마지막 거래일인 12월 30일까지 거래소의 테마지수 수익률을 비교한 결과 코스피200 금융 고배당 TOP 10지수의 수익률이 30.37%로 가장 높았다.

이 지수는 코스피200 금융지수 구성종목 중 재무지표와 주주환원지표가 우수한 10종목으로 구성되며 개별 종목의 현금 배당금 총액 비중으로 가중하는 방식의 지수다.

KB금융 신한지주 삼성화재 하나금융지주 기업은행 우리금융지주 DB손해보험 NH투자증권 한국금융지주 삼성증권으로 구성돼 있다.

또 KRXIHS Markit 코스피 200 예측 고배당 50 TR(11.65%) KRXIHS Markit 코스피 200 예측 배당성장 50 TR(10.96%) KRXIHS Markit 코스피 200 예측 고배당 50(7.52%) KRXIHS Markit 코스피 200 예측 배당성장 50(7.17%) 등 고배당 관련 지수의 수익률이 높았다.

작년 한 해 동안 코스피는 9.6% 코스닥은 21.7% 하락하며 부진을 면치 못했다.

34개의 KRX 테마지수 중 플러스() 수익률을 기록한 지수는 3분의 1에 해당하는 11개뿐이었는데 이중 코스피200 금융 고배당 TOP 10지수를 포함해 8개가 고배당 관련 지수였다.

연초 밸류업 정책에 대한 기대감으로 금융을 비롯한 고배당 종목에 관심이 크게 쏠렸고 하반기에는 그동안 한국 증시를 이끌었던 삼성전자의 부진과 대내외 정치 불확실성 속에 안정적인 배당 수익을 담보하는 종목에 자금이 유입됐던 것으로 풀이된다.

이외에는 KRX 바이오 TOP 10지수(12.08%)의 수익률이 가장 높았고 KRX ESG 사회책임경영지수(S)(2.81%) KRX 인터넷 TOP 10 지수(0.27%)가 수익을 냈다.

하락률이 큰 테마 지수는 KRX 2차전지 TOP 10 지수(45.78%) KRX FactSet 디지털 헬스케어 지수(34.36%) KRX 포스트 IPO 지수(34.11%) KRX 전기차 Top 15(32.04%) 등이었다.

코스피 업종 지수로 봐도 같은 흐름이 관찰된다.

보험(25.24%) 운송장비부품(20.15%) 금융(18.40%) 통신(14.87%) 증권(13.04%) 전기가스(10.68%) 제약(8.90%) 등의 수익률이 두드러진 반면 화학(34.66%) 섬유의류(27.30%) 전기전자(22.76%)는 손실이 났다.

염동찬 한국투자증권 연구원은 코리아 디스카운트 해소를 위한 정책이 나오고 시장 금리가 하락하는 현재 시점은 배당주에 기회가 있는 상태라며 배당을 지속적으로 늘려온 기업과 밸류업 관련 종목에 관심을 가질 필요가 있다고 말했다.",Good:0 Warm:0 Sad:0 Angry:0 Want:1,"그래봐야 국장은 도토리 기재기
","2025-01-01T07:11:43+0900
","0
","0
",1.0,경제,0,,20250101_010
